run_id,machine_id,run_log_file,algo,seed,env_name,os_name,cpu_physical_cores,cpu_logical_cores,cpu_clock_ghz,ram_mb,avg_cpu_usage,avg_ram_usage,peak_cpu_usage,peak_ram_usage,learning_rate,learning_rate_schedule,batch_size,buffer_size,normalize,hidden_units,num_layers,vis_encode_type,gamma,strength,keep_checkpoints,max_steps,time_horizon,summary_freq,buffer_init_steps,tau,steps_per_update,save_replay_buffer,init_entcoef,reward_signal_steps_per_update,beta,epsilon,lambd,num_epoch,train_duration_s,final_mean_reward,final_std_reward,time_to_convergence,steps_to_convergence
imoiz_Windows_ppo_11aee81b9f,imoiz_Windows,experiments\results\imoiz_Windows\imoiz_Windows_ppo_11aee81b9f\run_logs\run_log.csv,ppo,NA,3DBall,Windows,14,20,1.5,32392.73,12.41,660.38,21.48,670.52,0.0003,linear,32,10240,False,64,2,simple,0.99,1.0,5,300000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,730.86,100.0,0.0,367.316,150000
imoiz_Windows_ppo_7ee19a0086,imoiz_Windows,experiments\results\imoiz_Windows\imoiz_Windows_ppo_7ee19a0086\run_logs\run_log.csv,ppo,NA,3DBall,Windows,14,20,2.6,32392.73,12.74,642.07,26.87,655.62,0.0003,linear,32,10240,False,128,1,simple,0.99,1.0,5,100000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,89.254,2.662,1.896,NA,NA
imoiz_Windows_ppo_93e141f4ce,imoiz_Windows,experiments\results\imoiz_Windows\imoiz_Windows_ppo_93e141f4ce\run_logs\run_log.csv,ppo,NA,3DBall,Windows,14,20,2.6,32392.73,10.5,643.86,22.18,657.2,0.0003,linear,32,10240,False,64,3,simple,0.99,1.0,5,100000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,103.11,6.52,6.072,NA,NA
imoiz_Windows_ppo_b14f036e62,imoiz_Windows,experiments\results\imoiz_Windows\imoiz_Windows_ppo_b14f036e62\run_logs\run_log.csv,ppo,NA,3DBall,Windows,14,20,2.6,32392.73,10.21,645.95,25.07,659.9,0.0003,linear,32,10240,False,128,2,simple,0.99,1.0,5,100000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,107.053,6.995,6.144,NA,NA
imoiz_Windows_ppo_c1e1bec196,imoiz_Windows,experiments\results\imoiz_Windows\imoiz_Windows_ppo_c1e1bec196\run_logs\run_log.csv,ppo,NA,3DBall,Windows,14,20,1.5,32392.73,13.71,644.54,34.11,658.32,0.0003,linear,32,10240,False,128,3,simple,0.99,1.0,5,100000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,103.986,10.059,11.049,NA,NA
imoiz_Windows_ppo_f9ee46b3cd,imoiz_Windows,experiments\results\imoiz_Windows\imoiz_Windows_ppo_f9ee46b3cd\run_logs\run_log.csv,ppo,NA,3DBall,Windows,14,20,2.6,32392.73,11.05,644.79,22.07,658.72,0.0003,linear,32,10240,False,64,1,simple,0.99,1.0,5,100000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,110.912,2.313,1.554,NA,NA
pawel_Windows_ppo_0f24f10b88,pawel_Windows,experiments\results\pawel_Windows\pawel_Windows_ppo_0f24f10b88\run_logs\run_log.csv,ppo,NA,3DBall,Windows,16,22,1.4,15868.82,,1155.09,,1274.91,0.0003,linear,32,113184,False,93,1,simple,0.99,1,5,100000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,63.18,0.79,0.503,NA,NA
pawel_Windows_ppo_2095891e01,pawel_Windows,experiments\results\pawel_Windows\pawel_Windows_ppo_2095891e01\run_logs\run_log.csv,ppo,NA,3DBall,Windows,16,22,1.4,15868.82,,1152.78,,1272.38,0.0003,linear,32,442048,False,111,1,simple,0.99,1,5,100000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,58.14,1.108,0.666,NA,NA
pawel_Windows_ppo_35dbbb7d03,pawel_Windows,experiments\results\pawel_Windows\pawel_Windows_ppo_35dbbb7d03\run_logs\run_log.csv,ppo,NA,3DBall,Windows,16,22,1.4,15868.82,,1155.38,,1275.02,0.0003,linear,32,212640,False,92,1,simple,0.99,1,5,100000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,64.31,0.883,0.582,NA,NA
pawel_Windows_ppo_3d8e241b45,pawel_Windows,experiments\results\pawel_Windows\pawel_Windows_ppo_3d8e241b45\run_logs\run_log.csv,ppo,NA,3DBall,Windows,16,22,1.4,15868.82,,1156.61,,1274.71,0.0003,linear,32,232256,False,102,3,simple,0.99,1,5,100000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,71.54,1.153,0.653,NA,NA
pawel_Windows_ppo_4c064b19c7,pawel_Windows,experiments\results\pawel_Windows\pawel_Windows_ppo_4c064b19c7\run_logs\run_log.csv,ppo,NA,3DBall,Windows,16,22,1.4,15868.82,,1101.41,,1132.17,0.0003,linear,32,37728,False,109,3,simple,0.99,1,5,100000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,114.81,1.344,0.82,NA,NA
pawel_Windows_ppo_61b31e2e6e,pawel_Windows,experiments\results\pawel_Windows\pawel_Windows_ppo_61b31e2e6e\run_logs\run_log.csv,ppo,NA,3DBall,Windows,16,22,1.4,15868.82,,1155.75,,1272.37,0.0003,linear,32,108896,False,107,2,simple,0.99,1,5,100000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,66.06,1.077,0.661,NA,NA
pawel_Windows_ppo_6f374717bf,pawel_Windows,experiments\results\pawel_Windows\pawel_Windows_ppo_6f374717bf\run_logs\run_log.csv,ppo,NA,3DBall,Windows,16,22,1.4,15868.82,,1155.92,,1276.11,0.0003,linear,32,142624,False,76,1,simple,0.99,1,5,100000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,59.27,1.171,0.722,NA,NA
pawel_Windows_ppo_cee29aae74,pawel_Windows,experiments\results\pawel_Windows\pawel_Windows_ppo_cee29aae74\run_logs\run_log.csv,ppo,NA,3DBall,Windows,16,22,1.4,15868.82,,1156.42,,1275.85,0.0003,linear,32,242560,False,110,3,simple,0.99,1,5,100000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,71.63,1.185,0.707,NA,NA
pawel_Windows_ppo_d59b24ae3e,pawel_Windows,experiments\results\pawel_Windows\pawel_Windows_ppo_d59b24ae3e\run_logs\run_log.csv,ppo,NA,3DBall,Windows,16,22,1.4,15868.82,,1126.54,,1186.5,0.0003,linear,32,75264,False,121,1,simple,0.99,1,5,100000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,90.31,1.095,0.688,NA,NA
pawel_Windows_ppo_ee4c1b2eda,pawel_Windows,experiments\results\pawel_Windows\pawel_Windows_ppo_ee4c1b2eda\run_logs\run_log.csv,ppo,NA,3DBall,Windows,16,22,1.4,15868.82,,1156.8,,1276.1,0.0003,linear,32,145632,False,66,3,simple,0.99,1,5,100000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,68.36,1.181,0.708,NA,NA
