step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,64.8,system,
10000,12.914,0.84,0.559,31.231818181818184,process_tree,6.62,process_tree,1051.3
20000,19.507,0.812,0.512,3.9045454545454548,process_tree,6.77,process_tree,1074.95
30000,23.694,0.854,0.578,13.654545454545454,process_tree,6.92,process_tree,1098.1
40000,27.957,0.823,0.553,20.177272727272726,process_tree,7.05,process_tree,1118.79
50000,32.022,0.827,0.586,12.95909090909091,process_tree,7.19,process_tree,1141.27
60000,36.175,0.804,0.533,7.786363636363637,process_tree,7.34,process_tree,1165.51
70000,40.821,0.806,0.498,4.531818181818182,process_tree,7.48,process_tree,1187.68
80000,45.104,0.772,0.468,20.954545454545453,process_tree,7.62,process_tree,1208.77
90000,49.727,0.849,0.57,6.613636363636363,process_tree,7.75,process_tree,1229.59
100000,54.978,0.79,0.503,4.5181818181818185,process_tree,8.03,process_tree,1274.91
