step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,63.9,system,
10000,13.708,1.171,0.737,37.13636363636363,process_tree,6.64,process_tree,1053.27
20000,20.13,1.153,0.664,24.745454545454546,process_tree,6.79,process_tree,1077.8
30000,25.855,1.182,0.721,28.29090909090909,process_tree,6.93,process_tree,1099.23
40000,32.242,1.178,0.715,25.263636363636362,process_tree,7.08,process_tree,1123.27
50000,37.047,1.164,0.663,32.56363636363636,process_tree,7.23,process_tree,1146.54
60000,42.075,1.131,0.691,15.509090909090908,process_tree,7.35,process_tree,1166.34
70000,47.259,1.107,0.667,41.03181818181818,process_tree,7.48,process_tree,1186.88
80000,52.336,1.094,0.733,27.336363636363636,process_tree,7.61,process_tree,1208.08
90000,57.519,1.18,0.668,15.636363636363637,process_tree,7.75,process_tree,1229.93
100000,62.764,1.153,0.653,14.336363636363636,process_tree,8.03,process_tree,1274.71
