step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,64.0,system,
10000,12.518,1.115,0.708,17.454545454545453,process_tree,6.63,process_tree,1051.77
20000,17.217,1.123,0.69,13.663636363636364,process_tree,6.78,process_tree,1075.95
30000,21.875,1.102,0.618,40.845454545454544,process_tree,6.92,process_tree,1097.45
40000,28.161,1.057,0.655,24.481818181818184,process_tree,7.06,process_tree,1120.96
50000,32.828,1.061,0.668,29.959090909090904,process_tree,7.21,process_tree,1144.07
60000,37.615,1.127,0.671,29.30454545454546,process_tree,7.33,process_tree,1163.04
70000,42.701,1.06,0.678,15.459090909090907,process_tree,7.49,process_tree,1188.41
80000,47.484,1.094,0.649,29.30909090909091,process_tree,7.63,process_tree,1210.03
90000,52.194,1.093,0.691,27.79090909090909,process_tree,7.77,process_tree,1233.45
100000,57.119,1.077,0.661,15.636363636363637,process_tree,8.02,process_tree,1272.37
