step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,64.1,system,
10000,13.243,1.209,0.694,31.16818181818182,process_tree,6.64,process_tree,1053.06
20000,19.56,1.169,0.685,24.099999999999998,process_tree,6.79,process_tree,1076.75
30000,24.733,1.255,0.721,39.07727272727273,process_tree,6.93,process_tree,1099.98
40000,31.284,1.213,0.704,21.322727272727274,process_tree,7.06,process_tree,1120.74
50000,37.797,1.221,0.728,27.818181818181817,process_tree,7.21,process_tree,1143.49
60000,44.144,1.189,0.718,19.536363636363635,process_tree,7.36,process_tree,1167.22
70000,49.178,1.153,0.697,25.181818181818183,process_tree,7.49,process_tree,1187.82
80000,53.772,1.16,0.65,22.41363636363636,process_tree,7.62,process_tree,1209.34
90000,58.316,1.199,0.738,54.06818181818182,process_tree,7.75,process_tree,1229.96
100000,63.153,1.185,0.707,16.29090909090909,process_tree,8.04,process_tree,1275.85
